jset,topic,gene,symbol,rnk,colorcode
Basophils,topic20,11:53613665-53623665;NM_021283.2..Il4,Il4,1,#696969
DCs,topic28,11:59537685-59547685;NM_145827.3..Nlrp3,Nlrp3,58,#F0E442
DCs,topic28,5:92273181-92283181;NM_001163687.1..Naaa,Naaa,59.5,#F0E442
DCs,topic28,7:3285554-3295554;NM_016969.2..Myadm,Myadm,59.5,#F0E442
DCs,topic28,14:122029673-122039673;NM_001037744.1..Timm8a2,Timm8a2,62,#F0E442
DCs,topic28,4:99188933-99198933;NM_175029.3..Atg4c,Atg4c,62,#F0E442
DCs,topic28,9:42119289-42129289;NM_011436.3..Sorl1,Sorl1,62,#F0E442
DCs,topic28,8:3650769-3660769;NM_001204959.1..Retn,Retn,64,#F0E442
DCs,topic28,11:83588087-83598087;NM_009139.3..Ccl6,Ccl6,65.5,#F0E442
DCs,topic28,7:126589910-126599910;NM_145636.1..Il27,Il27,65.5,#F0E442
DCs,topic28,11:114929386-114939386;NM_199221.2..Cd300lb,Cd300lb,67,#F0E442
DCs,topic28,13:56173885-56183885;NM_001168615.1..Tifab,Tifab,68.5,#F0E442
DCs,topic28,9:120063296-120073296;NM_009987.4..Cx3cr1,Cx3cr1,68.5,#F0E442
DCs,topic28,11:114984886-114994886;NM_145437.2..Cd300ld,Cd300ld,71.5,#F0E442
DCs,topic28,13:117020516-117030516;NM_001081009.1..Parp8,Parp8,71.5,#F0E442
DCs,topic28,15:6574846-6584846;NM_001278269.1..Fyb,Fyb,71.5,#F0E442
DCs,topic28,3:107031161-107041161;NM_008418.2..Kcna3,Kcna3,71.5,#F0E442
DCs,topic28,17:57223136-57233136;NM_009778.3..C3,C3,75,#F0E442
DCs,topic28,5:110598504-110608504;NM_001122639.2..Galnt9,Galnt9,75,#F0E442
DCs,topic28,9:71158289-71168289;NM_022026.3..Aqp9,Aqp9,75,#F0E442
DCs,topic28,5:113010538-113020538;NM_001285806.1..Adrbk2,Adrbk2,77.5,#F0E442
DCs,topic28,6:137405720-137415720;NM_001164402.1..Ptpro,Ptpro,77.5,#F0E442
DCs,topic28,2:148438535-148448535;NM_010740.3..Cd93,Cd93,79,#F0E442
DCs,topic28,1:39895912-39905912;NM_001252200.1..Map4k4,Map4k4,81,#F0E442
DCs,topic28,14:70769380-70779380;NM_010071.2..Dok2,Dok2,81,#F0E442
DCs,topic28,8:86880258-86890258;NM_030563.2..N4bp1,N4bp1,81,#F0E442
DCs,topic28,2:6716662-6726662;NM_001310447.1..Celf2,Celf2,83.5,#F0E442
DCs,topic28,3:93550116-93560116;NM_009112.2..S100a10,S100a10,83.5,#F0E442
DCs,topic28,17:83841790-83851790;NM_025325.2..Haao,Haao,85,#F0E442
DCs,topic28,10:80097702-80107702;NM_183426.1..Sbno2,Sbno2,86.5,#F0E442
DCs,topic28,15:91186807-91196807;NM_011994.2..Abcd2,Abcd2,86.5,#F0E442
DCs,topic28,13:102688557-102698557;NM_008533.2..Cd180,Cd180,88,#F0E442
DCs,topic28,1:171554192-171564192;NM_018729.2..Cd244,Cd244,89.5,#F0E442
DCs,topic28,4:126019658-126029658;NM_001252651.1..Csf3r,Csf3r,89.5,#F0E442
DCs,topic28,12:108630752-108640752;NM_001163396.2..Evl,Evl,91,#F0E442
DCs,topic28,11:83657583-83667583;NM_013652.2..Ccl4,Ccl4,93,#F0E442
DCs,topic28,7:110767603-110777603;NM_009667.3..Ampd3,Ampd3,93,#F0E442
DCs,topic28,8:110914864-110924864;NM_009179.3..St3gal2,St3gal2,93,#F0E442
DCs,topic28,1:40079767-40089767;NM_010555.4..Il1r2,Il1r2,97,#F0E442
DCs,topic28,14:50865554-50875554;NM_009351.2..Tep1,Tep1,97,#F0E442
DCs,topic28,14:60763133-60773133;NM_183175.4..C1qtnf9,C1qtnf9,97,#F0E442
DCs,topic28,5:138220903-138230903;NM_001013773.3..Nxpe5,Nxpe5,97,#F0E442
DCs,topic28,8:72004626-72014626;NM_024444.2..Cyp4f18,Cyp4f18,97,#F0E442
DCs,topic28,5:114653421-114663421;NM_022017.3..Trpv4,Trpv4,100.5,#F0E442
DCs,topic28,8:90927248-90937248;NM_001310530.1..Chd9,Chd9,100.5,#F0E442
DCs,topic28,17:65634756-65644756;NM_153519.2..Txndc2,Txndc2,102.5,#F0E442
DCs,topic28,7:100959366-100969366;NM_183168.2..P2ry6,P2ry6,102.5,#F0E442
DCs,topic28,11:114996880-115006880;NM_134158.1..Cd300c2,Cd300c2,105,#F0E442
DCs,topic28,2:120149575-120159575;NM_133838.4..Ehd4,Ehd4,105,#F0E442
DCs,topic28,6:116711758-116721758;NM_178768.4..Tmem72,Tmem72,105,#F0E442
DCs,topic28,1:74148993-74158993;NM_009909.3..Cxcr2,Cxcr2,108.5,#F0E442
DCs,topic28,13:37044213-37054213;NM_028784.3..F13a1,F13a1,108.5,#F0E442
DCs,topic28,18:61100571-61110571;NM_001037859.2..Csf1r,Csf1r,108.5,#F0E442
DCs,topic28,5:108263896-108273896;NM_026106.4..Dr1,Dr1,108.5,#F0E442
DCs,topic28,8:117493274-117503274;NM_172285.2..Plcg2,Plcg2,111.5,#F0E442
DCs,topic28,9:106217597-106227597;NM_031178.2..Tlr9,Tlr9,111.5,#F0E442
DCs,topic28,6:118134140-118144140;NM_030165.3..Csgalnact2,Csgalnact2,113.5,#F0E442
DCs,topic28,7:19676460-19686460;NM_001309799.1..Apoc4-apoc2,Apoc4-apoc2,113.5,#F0E442
DCs,topic28,13:24633647-24643647;NM_001080381.1..Fam65b,Fam65b,116.5,#F0E442
DCs,topic28,2:153103467-153113467;NM_001172117.1..Hck,Hck,116.5,#F0E442
DCs,topic28,2:68856556-68866556;NM_172856.3..Cers6,Cers6,116.5,#F0E442
DCs,topic28,8:84061835-84071835;NM_009055.4..Rfx1,Rfx1,116.5,#F0E442
DCs,topic28,10:75584380-75594380;NM_011820.4..Ggt5,Ggt5,120.5,#F0E442
DCs,topic28,10:77964872-77974872;NM_138301.2..Trpm2,Trpm2,120.5,#F0E442
DCs,topic28,14:40943209-40953209;NM_001316748.1..Tspan14,Tspan14,120.5,#F0E442
DCs,topic28,2:32716054-32726054;NM_013781.3..Sh2d3c,Sh2d3c,120.5,#F0E442
DCs,topic28,17:86958110-86968110;NM_145491.2..Rhoq,Rhoq,124.5,#F0E442
DCs,topic28,4:62281428-62291428;NM_025286.3..Slc31a2,Slc31a2,124.5,#F0E442
DCs,topic28,6:123168022-123178022;NM_001004159.2..Clec4b2,Clec4b2,124.5,#F0E442
DCs,topic28,6:65585397-65595397;NM_001001495.2..Tnip3,Tnip3,124.5,#F0E442
DCs,topic28,11:101577241-101587241;NM_144830.3..Tmem106a,Tmem106a,127.5,#F0E442
DCs,topic28,13:37340344-37350344;NM_010745.2..Ly86,Ly86,127.5,#F0E442
DCs,topic28,11:121514342-121524342;NM_178763.4..Zfp750,Zfp750,130,#F0E442
DCs,topic28,11:83699055-83709055;NM_001081957.1..Wfdc17,Wfdc17,130,#F0E442
DCs,topic28,17:33633055-33643055;NM_001002842.2..Pram1,Pram1,130,#F0E442
DCs,topic28,11:55146706-55156706;NM_172258.3..Slc36a3,Slc36a3,133,#F0E442
DCs,topic28,15:103305438-103315438;NM_030720.1..Gpr84,Gpr84,133,#F0E442
DCs,topic28,9:44229046-44239046;NM_007619.2..Cbl,Cbl,133,#F0E442
DCs,topic28,10:93483767-93493767;NM_010401.4..Hal,Hal,136,#F0E442
DCs,topic28,4:132752171-132762171;NM_133888.2..Smpdl3b,Smpdl3b,136,#F0E442
DCs,topic28,7:128124567-128134567;NM_021334.2..Itgax,Itgax,136,#F0E442
DCs,topic28,1:172470359-172480359;NM_029612.4..Slamf9,Slamf9,139,#F0E442
DCs,topic28,12:70097854-70107854;NM_001081453.1..Nin,Nin,139,#F0E442
DCs,topic28,16:45219336-45229336;NM_001037719.2..Btla,Btla,139,#F0E442
DCs,topic28,1:71648234-71658234;NM_001276408.1..Fn1,Fn1,142.5,#F0E442
DCs,topic28,12:111437660-111447660;NM_009396.2..Tnfaip2,Tnfaip2,142.5,#F0E442
DCs,topic28,6:54034931-54044931;NM_001163640.1..Chn2,Chn2,142.5,#F0E442
DCs,topic28,9:41152494-41162494;NM_176860.5..Ubash3b,Ubash3b,142.5,#F0E442
DCs,topic28,1:87848286-87858286;NM_177646.3..Dgkd,Dgkd,147,#F0E442
DCs,topic28,11:69677084-69687084;NM_001163571.1..Senp3,Senp3,147,#F0E442
DCs,topic28,2:35332009-35342009;NM_013515.2..Stom,Stom,147,#F0E442
DCs,topic28,5:136078915-136088915;NM_001039103.3..Rasa4,Rasa4,147,#F0E442
DCs,topic28,6:137566009-137576009;NM_001271587.1..Eps8,Eps8,147,#F0E442
DCs,topic28,11:106155142-106165142;NM_172397.3..Limd2,Limd2,151,#F0E442
DCs,topic28,14:19972249-19982249;NM_001038637.1..Gng2,Gng2,151,#F0E442
DCs,topic28,15:57980902-57990902;NM_173862.2..Fam83a,Fam83a,151,#F0E442
DCs,topic28,1:131014844-131024844;NM_010548.2..Il10,Il10,154.5,#F0E442
DCs,topic28,17:65637204-65647204;NM_001146002.1..Txndc2,Txndc2,154.5,#F0E442
DCs,topic28,2:129588168-129598168;NM_001177647.2..Sirpa,Sirpa,154.5,#F0E442
DCs,topic28,2:77275592-77285592;NM_175465.6..Sestd1,Sestd1,154.5,#F0E442
DCs,topic28,1:36239302-36249302;NM_198899.2..Uggt1,Uggt1,159,#F0E442
DCs,topic28,1:74370202-74380202;NM_013612.2..Slc11a1,Slc11a1,159,#F0E442
DCs,topic28,2:148870512-148880512;NM_009976.4..Cst3,Cst3,159,#F0E442
DCs,topic28,2:165315826-165325826;NM_001302752.1..Elmo2,Elmo2,159,#F0E442
DCs,topic28,8:13032307-13042307;NM_001242368.1..F10,F10,159,#F0E442
DCs,topic28,3:95521785-95531785;NM_001267695.2..Ctss,Ctss,162.5,#F0E442
DCs,topic28,8:120109151-120119151;NM_001163761.1..6430548M08Rik,6430548M08Rik,162.5,#F0E442
DCs,topic28,4:53821044-53831044;NM_028053.2..Tmem38b,Tmem38b,165,#F0E442
DCs,topic28,7:141534857-141544857;NM_001142681.1..Chid1,Chid1,165,#F0E442
DCs,topic28,9:57555943-57565943;NM_022813.3..Scamp2,Scamp2,165,#F0E442
DCs,topic28,1:156469328-156479328;NM_009230.3..Soat1,Soat1,169.5,#F0E442
DCs,topic28,1:171013925-171023925;NM_144559.2..Fcgr4,Fcgr4,169.5,#F0E442
DCs,topic28,12:102434697-102444697;NM_011175.2..Lgmn,Lgmn,169.5,#F0E442
DCs,topic28,12:76528559-76538559;NM_153804.4..Plekhg3,Plekhg3,169.5,#F0E442
DCs,topic28,2:38282384-38292384;NM_146122.3..Dennd1a,Dennd1a,169.5,#F0E442
DCs,topic28,4:62286546-62296546;NM_001290518.1..Slc31a2,Slc31a2,169.5,#F0E442
DCs,topic28,2:166150683-166160683;NM_001252579.1..Sulf2,Sulf2,173.5,#F0E442
DCs,topic28,7:100171669-100181669;NM_001190869.1..Kcne3,Kcne3,173.5,#F0E442
DCs,topic28,12:110835939-110845939;NM_011973.2..Mok,Mok,176,#F0E442
DCs,topic28,2:35251358-35261358;NM_001206367.1..Gsn,Gsn,176,#F0E442
DCs,topic28,9:7566395-7576395;NM_001310717.1..Mmp27,Mmp27,176,#F0E442
DCs,topic28,2:118544678-118554678;NM_138313.3..Bmf,Bmf,180,#F0E442
DCs,topic28,4:62668973-62678973;NM_001310706.1..Rgs3,Rgs3,180,#F0E442
DCs,topic28,6:123224842-123234842;NM_001190320.1..Clec4n,Clec4n,180,#F0E442
DCs,topic28,7:19672941-19682941;NM_001277944.1..Apoc2,Apoc2,180,#F0E442
DCs,topic28,9:69448682-69458682;NM_007585.3..Anxa2,Anxa2,180,#F0E442
DCs,topic28,1:182512483-182522483;NM_009794.3..Capn2,Capn2,185,#F0E442
DCs,topic28,18:46569533-46579533;NM_173394.3..Ticam2,Ticam2,185,#F0E442
DCs,topic28,4:149161707-149171707;NM_001081274.1..Pgd,Pgd,185,#F0E442
DCs,topic28,4:88433926-88443926;NM_025760.4..Hacd4,Hacd4,185,#F0E442
DCs,topic28,8:13021033-13031033;NM_010172.4..F7,F7,185,#F0E442
DCs,topic28,15:89168951-89178951;NM_001159521.2..Plxnb2,Plxnb2,189,#F0E442
DCs,topic28,2:166150285-166160285;NM_001252578.1..Sulf2,Sulf2,189,#F0E442
DCs,topic28,2:90672214-90682214;NM_021512.2..Nup160,Nup160,189,#F0E442
DCs,topic28,10:7827469-7837469;NM_172785.3..Zc3h12d,Zc3h12d,192,#F0E442
DCs,topic28,13:115096964-115106964;NM_001033228.3..Itga1,Itga1,192,#F0E442
DCs,topic28,19:11402660-11412660;NM_029499.3..Ms4a4c,Ms4a4c,192,#F0E442
DCs,topic28,16:16555219-16565219;NM_139232.3..Fgd4,Fgd4,194.5,#F0E442
DCs,topic28,17:57353685-57363685;NM_010130.4..Adgre1,Adgre1,194.5,#F0E442
DCs,topic28,13:51403617-51413617;NM_010101.4..S1pr3,S1pr3,198.5,#F0E442
DCs,topic28,14:51157259-51167259;NM_019398.2..Rnase2b,Rnase2b,198.5,#F0E442
DCs,topic28,17:24164429-24174429;NM_009729.3..Atp6v0c,Atp6v0c,198.5,#F0E442
DCs,topic28,6:116668836-116678836;NM_178045.4..Rassf4,Rassf4,198.5,#F0E442
DCs,topic28,6:123257106-123267106;NM_001163161.1..Clec4d,Clec4d,198.5,#F0E442
DCs,topic28,6:50377837-50387837;NM_027881.3..Osbpl3,Osbpl3,198.5,#F0E442
DCs,topic28,13:13585408-13595408;NM_010748.2..Lyst,Lyst,202,#F0E442
DCs,topic28,4:9638717-9648717;NM_001177852.1..Asph,Asph,204,#F0E442
DCs,topic28,7:101380525-101390525;NM_027180.3..Arap1,Arap1,204,#F0E442
DCs,topic28,8:106145398-106155398;NM_133792.2..Pla2g15,Pla2g15,204,#F0E442
DCs,topic28,13:23705811-23715811;NM_010424.4..Hfe,Hfe,209.5,#F0E442
DCs,topic28,13:55016385-55026385;NM_001033245.4..Hk3,Hk3,209.5,#F0E442
DCs,topic28,14:77869917-77879917;NM_025384.3..Dnajc15,Dnajc15,209.5,#F0E442
DCs,topic28,2:156307472-156317472;NM_001316755.1..Cnbd2,Cnbd2,209.5,#F0E442
DCs,topic28,2:85131359-85141359;NM_011784.3..Aplnr,Aplnr,209.5,#F0E442
DCs,topic28,4:152181133-152191133;NM_001146057.1..Acot7,Acot7,209.5,#F0E442
DCs,topic28,7:141005744-141015744;NM_025378.2..Ifitm3,Ifitm3,209.5,#F0E442
DCs,topic28,9:24498140-24508140;NM_172920.4..Dpy19l1,Dpy19l1,209.5,#F0E442
DCs,topic28,11:117194660-117204660;NM_001113486.1..Sept9,Sept9,216,#F0E442
DCs,topic28,11:69691098-69701098;NM_001034097.2..Tnfsfm13,Tnfsfm13,216,#F0E442
DCs,topic28,2:14224413-14234413;NM_008625.2..Mrc1,Mrc1,216,#F0E442
DCs,topic28,6:50451170-50461170;NM_001163645.1..Osbpl3,Osbpl3,216,#F0E442
DCs,topic28,7:100173682-100183682;NM_001190870.1..Kcne3,Kcne3,216,#F0E442
DCs,topic28,11:110090937-110100937;NM_153145.4..Abca8a,Abca8a,221.5,#F0E442
DCs,topic28,12:104993677-105003677;NM_001042699.2..Syne3,Syne3,221.5,#F0E442
DCs,topic28,16:87693953-87703953;NM_007520.2..Bach1,Bach1,221.5,#F0E442
DCs,topic28,2:28079878-28089878;NM_010190.1..Fcnb,Fcnb,221.5,#F0E442
DCs,topic28,3:105899420-105909420;NM_009631.4..Adora3,Adora3,221.5,#F0E442
DCs,topic28,6:99261515-99271515;NM_001197321.1..Foxp1,Foxp1,221.5,#F0E442
DCs,topic28,11:55180077-55190077;NM_153170.3..Slc36a2,Slc36a2,228,#F0E442
DCs,topic28,2:91091677-91101677;NM_011355.2..Spi1,Spi1,228,#F0E442
DCs,topic28,5:147889802-147899802;NM_027872.3..Slc46a3,Slc46a3,228,#F0E442
DCs,topic28,5:66146954-66156954;NM_001127382.2..Rbm47,Rbm47,228,#F0E442
DCs,topic28,7:126761413-126771413;NM_024228.2..Gdpd3,Gdpd3,228,#F0E442
DCs,topic28,7:25622623-25632623;NM_001036740.2..B3gnt8,B3gnt8,228,#F0E442
DCs,topic28,9:7553428-7563428;NM_008611.4..Mmp8,Mmp8,228,#F0E442
DCs,topic28,17:27162764-27172764;NM_173027.2..Ip6k3,Ip6k3,233,#F0E442
DCs,topic28,8:14883535-14893535;NM_012000.3..Cln8,Cln8,233,#F0E442
DCs,topic28,8:88642346-88652346;NM_145857.2..Nod2,Nod2,233,#F0E442
DCs,topic28,1:84279645-84289645;NM_001003948.2..Pid1,Pid1,236.5,#F0E442
DCs,topic28,11:69680554-69690554;NM_001159505.1..Tnfsf13,Tnfsf13,236.5,#F0E442
DCs,topic28,4:145241870-145251870;NM_011610.3..Tnfrsf1b,Tnfrsf1b,236.5,#F0E442
DCs,topic28,9:123846661-123856661;NM_148925.3..Fyco1,Fyco1,236.5,#F0E442
DCs,topic28,1:182949787-182959787;NM_016928.3..Tlr5,Tlr5,243,#F0E442
DCs,topic28,14:30016302-30026302;NM_172264.2..Chdh,Chdh,243,#F0E442
DCs,topic28,15:80555470-80565470;NM_001163189.1..Enthd1,Enthd1,243,#F0E442
DCs,topic28,16:16522411-16532411;NM_001301818.1..Fgd4,Fgd4,243,#F0E442
DCs,topic28,17:48227738-48237738;NM_021406.5..Trem1,Trem1,243,#F0E442
DCs,topic28,2:33426324-33436324;NM_001085507.1..Zbtb34,Zbtb34,243,#F0E442
DCs,topic28,4:88517794-88527794;NM_010510.1..Ifnb1,Ifnb1,243,#F0E442
DCs,topic28,7:140950961-140960961;NM_030694.1..Ifitm2,Ifitm2,243,#F0E442
DCs,topic28,7:43602168-43612168;NM_028913.3..Zfp819,Zfp819,243,#F0E442
DCs,topic28,12:105004809-105014809;NM_172500.3..Syne3,Syne3,249.5,#F0E442
DCs,topic28,14:50888255-50898255;NM_001166651.1..Klhl33,Klhl33,249.5,#F0E442
DCs,topic28,3:15327302-15337302;NM_001076679.2..Gm9733,Gm9733,249.5,#F0E442
DCs,topic28,8:22701583-22711583;NM_001159774.1..Ikbkb,Ikbkb,249.5,#F0E442
DCs,topic28,17:8231042-8241042;NM_001190333.1..Ccr6,Ccr6,253,#F0E442
DCs,topic28,3:8999515-9009515;NM_001025263.1..Tpd52,Tpd52,253,#F0E442
DCs,topic28,6:122947514-122957514;NM_001204241.1..Clec4a3,Clec4a3,253,#F0E442
DCs,topic28,11:69040636-69050636;NM_011496.2..Aurkb,Aurkb,257,#F0E442
DCs,topic28,15:103267917-103277917;NM_019817.1..Copz1,Copz1,257,#F0E442
DCs,topic28,4:149696629-149706629;NM_001029837.2..Pik3cd,Pik3cd,257,#F0E442
DCs,topic28,5:113645390-113655390;NM_008153.3..Cmklr1,Cmklr1,257,#F0E442
DCs,topic28,8:92850349-92860349;NM_173014.1..Lpcat2,Lpcat2,257,#F0E442
DCs,topic28,1:88697191-88707191;NM_177305.4..Arl4c,Arl4c,262,#F0E442
DCs,topic28,11:70087643-70097643;NM_001313925.1..Asgr2,Asgr2,262,#F0E442
DCs,topic28,4:86665059-86675059;NM_007408.3..Plin2,Plin2,262,#F0E442
DCs,topic28,5:123860516-123870516;NM_030701.3..Hcar2,Hcar2,262,#F0E442
DCs,topic28,7:44831287-44841287;NM_010215.3..Il4i1,Il4i1,262,#F0E442
DCs,topic28,3:101024495-101034495;NM_001167906.1..Cd101,Cd101,266,#F0E442
DCs,topic28,6:122916847-122926847;NM_199311.2..Clec4a1,Clec4a1,266,#F0E442
DCs,topic28,7:25783733-25793733;NM_001190974.1..Axl,Axl,266,#F0E442
DCs,topic28,11:110163153-110173153;NM_147220.2..Abca9,Abca9,270.5,#F0E442
DCs,topic28,15:99815149-99825149;NM_023063.4..Lima1,Lima1,270.5,#F0E442
DCs,topic28,16:92692329-92702329;NM_001111023.2..Runx1,Runx1,270.5,#F0E442
DCs,topic28,6:134030699-134040699;NM_001303102.1..Etv6,Etv6,270.5,#F0E442
DCs,topic28,7:141011892-141021892;NM_001033632.1..Ifitm6,Ifitm6,270.5,#F0E442
DCs,topic28,7:25811530-25821530;NM_028775.3..Cyp2s1,Cyp2s1,270.5,#F0E442
DCs,topic28,7:3285555-3295555;NM_001093765.1..Myadm,Myadm,274,#F0E442
DCs,topic28,11:115057038-115067038;NM_172050.2..Cd300e,Cd300e,277.5,#F0E442
DCs,topic28,11:121076139-121086139;NM_145373.2..Sectm1a,Sectm1a,277.5,#F0E442
DCs,topic28,19:11370487-11380487;NM_001310331.1..Ms4a4a,Ms4a4a,277.5,#F0E442
DCs,topic28,2:143910330-143920330;NM_019771.2..Dstn,Dstn,277.5,#F0E442
DCs,topic28,2:164781020-164791020;NM_133924.3..Snx21,Snx21,277.5,#F0E442
DCs,topic28,7:121069530-121079530;NM_030691.1..Igsf6,Igsf6,277.5,#F0E442
DCs,topic28,1:177724813-177734813;NM_027077.2..1700016C15Rik,1700016C15Rik,284,#F0E442
DCs,topic28,12:98254459-98264459;NM_008079.4..Galc,Galc,284,#F0E442
DCs,topic28,13:37989190-37999190;NM_025965.3..Ssr1,Ssr1,284,#F0E442
DCs,topic28,2:104737801-104747801;NM_144804.1..Depdc7,Depdc7,284,#F0E442
DCs,topic28,5:115336161-115346161;NM_029645.3..Gatc,Gatc,284,#F0E442
DCs,topic28,6:123044961-123054961;NM_001190310.1..Clec4b1,Clec4b1,284,#F0E442
DCs,topic28,7:43528171-43538171;NM_001111058.1..Cd33,Cd33,284,#F0E442
DCs,topic28,1:171220053-171230053;NM_001305549.1..Apoa2,Apoa2,289.5,#F0E442
DCs,topic28,13:54570012-54580012;NM_019968.2..Arl10,Arl10,289.5,#F0E442
DCs,topic28,17:35171001-35181001;NM_019467.2..Aif1,Aif1,289.5,#F0E442
DCs,topic28,5:134610025-134620025;NM_020044.3..Lat2,Lat2,289.5,#F0E442
DCs,topic28,10:10467314-10477314;NM_001127353.3..Adgb,Adgb,294,#F0E442
DCs,topic28,13:52578436-52588436;NM_001198977.1..Syk,Syk,294,#F0E442
DCs,topic28,3:90595214-90605214;NM_011310.2..S100a3,S100a3,294,#F0E442
DCs,topic28,7:43346340-43356340;NM_001271019.1..Siglecf,Siglecf,294,#F0E442
DCs,topic28,8:70611843-70621843;NM_153074.3..Lrrc25,Lrrc25,294,#F0E442
DCs,topic28,12:45069483-45079483;NM_144552.3..Stxbp6,Stxbp6,298,#F0E442
DCs,topic28,19:3930185-3940185;NM_001161428.1..Unc93b1,Unc93b1,298,#F0E442
DCs,topic28,6:125344722-125354722;NM_011609.4..Tnfrsf1a,Tnfrsf1a,298,#F0E442
DCs,topic28,13:19819257-19829257;NM_181754.4..Gpr141,Gpr141,300.5,#F0E442
DCs,topic28,19:11464367-11474367;NM_001166376.1..Ms4a6c,Ms4a6c,300.5,#F0E442
DCs,topic28,13:55015819-55025819;NM_001206390.1..Hk3,Hk3,304.5,#F0E442
DCs,topic28,14:65093106-65103106;NM_018788.3..Extl3,Extl3,304.5,#F0E442
DCs,topic28,2:156307704-156317704;NM_020255.3..Scand1,Scand1,304.5,#F0E442
DCs,topic28,3:133539390-133549390;NM_001040400.2..Tet2,Tet2,304.5,#F0E442
DCs,topic28,3:88648142-88658142;NM_181817.1..Rxfp4,Rxfp4,304.5,#F0E442
DCs,topic28,8:22648437-22658437;NM_011130.2..Polb,Polb,304.5,#F0E442
DCs,topic28,1:152795152-152805152;NM_010877.5..Ncf2,Ncf2,310,#F0E442
DCs,topic28,14:66863600-66873600;NM_009955.3..Dpysl2,Dpysl2,310,#F0E442
DCs,topic28,16:90215741-90225741;NM_011434.1..Sod1,Sod1,310,#F0E442
DCs,topic28,19:4143662-4153662;NM_011778.2..Coro1b,Coro1b,310,#F0E442
DCs,topic28,2:167344178-167354178;NM_019835.2..B4galt5,B4galt5,310,#F0E442
DCs,topic28,12:111673104-111683104;NM_001099792.1..Trmt61a,Trmt61a,313.5,#F0E442
DCs,topic28,15:103361791-103371791;NM_001314041.1..Itga5,Itga5,313.5,#F0E442
DCs,topic28,1:80660352-80670352;NM_001285927.1..Dock10,Dock10,319,#F0E442
DCs,topic28,13:52976039-52986039;NM_017373.3..Nfil3,Nfil3,319,#F0E442
DCs,topic28,16:57544241-57554241;NM_001177871.1..Filip1l,Filip1l,319,#F0E442
DCs,topic28,19:17334505-17344505;NM_001136484.3..Gcnt1,Gcnt1,319,#F0E442
DCs,topic28,3:109022607-109032607;NM_001163567.1..Fam102b,Fam102b,319,#F0E442
DCs,topic28,3:57731061-57741061;NM_001113413.2..Rnf13,Rnf13,319,#F0E442
DCs,topic28,7:127291259-127301259;NM_001253872.1..Itgal,Itgal,319,#F0E442
DCs,topic28,7:48784002-48794002;NM_028031.3..Zdhhc13,Zdhhc13,319,#F0E442
DCs,topic28,9:122112265-122122265;NM_001164572.1..Snrk,Snrk,319,#F0E442
DCs,topic28,17:34639882-34649882;NM_019873.2..Fkbpl,Fkbpl,327,#F0E442
DCs,topic28,17:79003505-79013505;NM_001171005.1..Prkd3,Prkd3,327,#F0E442
DCs,topic28,2:73448889-73458889;NM_001289722.1..Wipf1,Wipf1,327,#F0E442
DCs,topic28,7:101852190-101862190;NM_001303239.1..Folr2,Folr2,327,#F0E442
DCs,topic28,7:107590050-107600050;NM_008905.2..Ppfibp2,Ppfibp2,327,#F0E442
DCs,topic28,7:139973755-139983755;NM_001033465.2..6430531B16Rik,6430531B16Rik,327,#F0E442
DCs,topic28,7:43667030-43677030;NM_145582.1..Ctu1,Ctu1,327,#F0E442
DCs,topic28,1:88003551-88013551;NM_001033291.2..Usp40,Usp40,335.5,#F0E442
DCs,topic28,10:34122972-34132972;NM_175449.4..Fam26f,Fam26f,335.5,#F0E442
DCs,topic28,2:153156300-153166300;NM_133847.3..Tm9sf4,Tm9sf4,335.5,#F0E442
DCs,topic28,5:66145978-66155978;NM_001291226.1..Rbm47,Rbm47,335.5,#F0E442
DCs,topic28,5:68026834-68036834;NM_001018019.2..Grxcr1,Grxcr1,335.5,#F0E442
DCs,topic28,6:129345243-129355243;NM_177686.4..Clec12a,Clec12a,335.5,#F0E442
DCs,topic28,6:129502165-129512165;NM_001301094.1..Olr1,Olr1,335.5,#F0E442
DCs,topic28,6:51518902-51528902;NM_001127349.1..Snx10,Snx10,335.5,#F0E442
DCs,topic28,7:16239154-16249154;NM_176912.4..C5ar2,C5ar2,335.5,#F0E442
DCs,topic28,7:97837938-97847938;NM_011035.2..Pak1,Pak1,335.5,#F0E442
DCs,topic28,1:153482660-153492660;NM_007842.2..Dhx9,Dhx9,346,#F0E442
DCs,topic28,11:97144712-97154712;NM_198100.2..Tbkbp1,Tbkbp1,346,#F0E442
DCs,topic28,14:30017632-30027632;NM_175343.5..Chdh,Chdh,346,#F0E442
DCs,topic28,16:19978049-19988049;NM_183390.3..Klhl6,Klhl6,346,#F0E442
DCs,topic28,18:60798848-60808848;NM_001042605.1..Cd74,Cd74,346,#F0E442
DCs,topic28,18:80359254-80369254;NM_001190373.1..Kcng2,Kcng2,346,#F0E442
DCs,topic28,3:59205882-59215882;NM_028808.3..P2ry13,P2ry13,346,#F0E442
DCs,topic28,5:31608950-31618950;NM_025796.3..Mrpl33,Mrpl33,346,#F0E442
DCs,topic28,7:100858413-100868413;NM_177073.6..Relt,Relt,346,#F0E442
DCs,topic28,8:120733638-120743638;NM_001301811.1..Irf8,Irf8,346,#F0E442
DCs,topic28,9:73059147-73069147;NM_001301232.1..Rab27a,Rab27a,346,#F0E442
DCs,topic28,1:170971071-170981071;NM_001077189.1..Fcgr2b,Fcgr2b,357.5,#F0E442
